Symbol,Company.Name,Sector,Industry
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas
FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery
IP,International Paper Company,Consumer Goods,Packaging & Containers
SJW,SJW Group,Utilities,Water Utilities
F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major
AVP,"Avon Products, Inc.",Consumer Goods,Personal Products
NFG,National Fuel Gas Company,Basic Materials,Independent Oil & Gas
BF.A,NA,NA,NA
MATX,"Matson, Inc.",Services,Shipping
BK,The Bank of New York Mellon Corporation,Financial,Asset Management
SNE,Sony Corporation,Consumer Goods,Electronic Equipment
KR,The Kroger Co.,Services,Grocery Stores
BP,BP p.l.c.,Basic Materials,Major Integrated Oil & Gas
C,Citigroup Inc.,Financial,Money Center Banks
CL,Colgate-Palmolive Company,Consumer Goods,Personal Products
APA,Apache Corporation,Basic Materials,Independent Oil & Gas
DDS,"Dillard's, Inc.",Services,Department Stores
TSN,"Tyson Foods, Inc.",Consumer Goods,Meat Products
OII,"Oceaneering International, Inc.",Basic Materials,Oil & Gas Equipment & Services
BIF,NA,NA,NA
LAWS,"Lawson Products, Inc.",Services,Industrial Equipment Wholesale
GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale
JCP,"J. C. Penney Company, Inc.",Services,Department Stores
VNO,Vornado Realty Trust,Financial,REIT - Diversified
LPX,Louisiana-Pacific Corporation,Services,Building Materials Wholesale
WABC,Westamerica Bancorporation,Financial,Regional - Pacific Banks
NWLI,"National Western Life Group, Inc.",Financial,Life Insurance
GLT,P. H. Glatfelter Company,Consumer Goods,Paper & Paper Products
LUB,"Luby's, Inc.",Services,Restaurants
NL,"NL Industries, Inc.",Services,Industrial Equipment Wholesale
PGR,The Progressive Corporation,Financial,Property & Casualty Insurance
BF.B,NA,NA,NA
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits
GHC,Graham Holdings Company,Services,Education & Training Services
GFI,Gold Fields Limited,Basic Materials,Gold
SJI,"South Jersey Industries, Inc.",Utilities,Gas Utilities
SHLM,"A. Schulman, Inc.",Basic Materials,Chemicals - Major Diversified
BAC,Bank of America Corporation,Financial,Money Center Banks
CTS,CTS Corporation,Technology,Diversified Electronics
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games
AP,Ampco-Pittsburgh Corporation,Industrial Goods,Diversified Machinery
WGO,"Winnebago Industries, Inc.",Consumer Goods,Recreational Vehicles
MYL,Mylan N.V.,Healthcare,Drugs - Generic
TRC,Tejon Ranch Co.,Financial,Property Management
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods
TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical Laboratories & Research
VLGEA,"Village Super Market, Inc.",Services,Grocery Stores
DUK,Duke Energy Corporation,Utilities,Electric Utilities
JPM,JPMorgan Chase & Co.,Financial,Money Center Banks
AGYS,"Agilysys, Inc.",Technology,Application Software
L,Loews Corporation,Financial,Property & Casualty Insurance
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
D,"Dominion Energy, Inc.",Utilities,Electric Utilities
TGNA,TEGNA Inc.,Services,Broadcasting - TV
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery
CAL,"Caleres, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
MSEX,Middlesex Water Company,Utilities,Water Utilities
NJR,New Jersey Resources Corporation,Utilities,Gas Utilities
ANAT,American National Insurance Company,Financial,Property & Casualty Insurance
KMT,Kennametal Inc.,Industrial Goods,Machine Tools & Accessories
SENEB,Seneca Foods Corporation,Consumer Goods,Processed & Packaged Goods
WMK,"Weis Markets, Inc.",Services,Grocery Stores
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products
CHD,"Church & Dwight Co., Inc.",Consumer Goods,Cleaning Products
DHR,Danaher Corporation,Industrial Goods,Diversified Machinery
AVA,Avista Corporation,Utilities,Diversified Utilities
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals
BBT,BB&T Corporation,Financial,Regional - Southeast Banks
FHN,First Horizon National Corporation,Financial,Regional - Southeast Banks
INTC,Intel Corporation,Technology,Semiconductor - Broad Line
KSU,Kansas City Southern,Services,Railroads
CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services
KYO,Kyocera Corporation,Technology,Diversified Electronics
MUX,McEwen Mining Inc.,Basic Materials,Industrial Metals & Minerals
MOG.A,NA,NA,NA
CSX,CSX Corporation,Services,Railroads
CECE,CECO Environmental Corp.,Industrial Goods,Pollution & Treatment Controls
SEIC,SEI Investments Co.,Financial,Asset Management
PHIIK,"PHI, Inc.",NA,NA
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - Other
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals
SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services
HUM,Humana Inc.,Healthcare,Health Care Plans
OXY,Occidental Petroleum Corporation,Basic Materials,Independent Oil & Gas
VLO,Valero Energy Corporation,Basic Materials,Oil & Gas Refining & Marketing
HRS,Harris Corporation,Technology,Communication Equipment
SO,The Southern Company,Utilities,Electric Utilities
THC,Tenet Healthcare Corp.,Healthcare,Hospitals
IHC,Independence Holding Company,Financial,Life Insurance
VBF,Invesco Bond Fund,NA,NA
CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks
RDC,Rowan Companies plc,Basic Materials,Oil & Gas Drilling & Exploration
FMBI,"First Midwest Bancorp, Inc.",Financial,Regional - Midwest Banks
TRST,TrustCo Bank Corp NY,Financial,Regional - Northeast Banks
ASNA,"Ascena Retail Group, Inc.",Services,Apparel Stores
LM,"Legg Mason, Inc.",Financial,Asset Management
PAYX,"Paychex, Inc.",Services,Staffing & Outsourcing Services
SLM,SLM Corporation,Financial,Credit Services
AXE,Anixter International Inc.,Services,Industrial Equipment Wholesale
SGMS,Scientific Games Corporation,Services,Gaming Activities
CB,Chubb Limited,Financial,Property & Casualty Insurance
JCI,Johnson Controls International plc,Consumer Goods,Auto Parts
