Date,Technology (IYW),Basic Materials (IYM),Consumer Goods (IYK),Services (IYC),Healthcare (IYH),Utilities (IDU),Market (^RUA)
2017-09-11,149.061020,92.860146,121.352348,162.838715,173.379364,138.134369,1471.199951
2017-09-12,149.280106,93.653656,121.362267,163.694351,173.697495,135.771484,1476.680054
2017-09-13,149.160599,93.693329,121.292877,164.808655,173.091064,135.128860,1477.709961
2017-09-14,148.622879,94.129761,121.431656,163.823685,173.409180,136.206497,1476.099976
2017-09-15,149.110825,94.308296,121.649742,163.584900,172.753052,136.354797,1479.280029
2017-09-18,149.100861,94.943108,121.719124,162.968063,172.951889,135.138763,1482.530029
2017-09-19,149.598755,95.538231,121.431656,162.689484,171.460663,134.861923,1483.800049
2017-09-20,148.682617,95.726692,120.737762,163.077499,171.828491,133.774414,1485.489990
2017-09-21,147.846161,95.439049,119.875343,162.729279,170.884048,133.695313,1481.260010
2017-09-22,147.796356,95.310097,119.686996,163.077499,170.963593,132.815414,1482.859985
2017-09-25,145.824677,95.419205,120.004211,162.719330,170.446625,133.863388,1480.030029
2017-09-26,146.644135,95.045486,120.424232,162.607559,170.177460,133.793701,1480.459961
2017-09-27,148.400833,94.935860,119.767326,163.595535,170.197403,132.180756,1488.369995
2017-09-28,148.500656,95.513878,120.036064,163.236282,170.386826,132.678574,1490.339966
2017-09-29,149.638504,95.464058,120.105736,163.705307,171.333908,132.330124,1495.430054
2017-10-02,149.828156,96.879219,120.264992,163.874969,173.008759,132.698502,1502.630005
2017-10-03,150.227402,97.198135,120.503860,164.713257,173.118423,132.350021,1506.010010
2017-10-04,150.007813,97.148308,121.180687,165.162338,173.896027,133.574661,1507.439941
2017-10-05,151.514984,97.636635,121.409615,166.220169,173.985764,133.475098,1515.310059
2017-10-06,151.994080,97.427353,121.210541,165.621399,173.965820,133.315781,1513.689941
2017-10-09,152.393326,97.297791,120.792511,164.773132,172.759521,133.514923,1510.489990
2017-10-10,152.403305,97.228027,121.539001,165.092468,173.138367,134.809250,1513.959961
2017-10-11,153.032135,97.417389,121.678345,165.272110,173.487305,135.366806,1516.290039
2017-10-12,153.072052,97.696434,121.937134,164.383926,173.208160,136.073700,1514.000000
2017-10-13,153.950409,98.284424,122.245682,164.892883,172.769501,135.078064,1514.890015
2017-10-16,154.519333,98.065178,122.444740,164.942780,172.151382,134.829163,1517.150024
2017-10-17,154.549271,97.756226,122.006805,164.962753,174.294815,135.575882,1517.500000
2017-10-18,155.118210,97.546944,121.907272,164.803070,174.583923,135.476334,1519.130005
2017-10-19,154.569229,97.905716,121.210541,164.593491,175.501099,136.760696,1519.349976
2017-10-20,155.507477,98.533577,121.200584,165.252151,175.640671,136.929962,1527.189941
2017-10-23,154.878647,98.314323,120.832321,164.334030,175.281784,136.939911,1520.390015
2017-10-24,155.417648,99.081703,120.852226,164.443802,173.975784,136.949875,1522.880005
